State,Ag District,County,Commodity,Value
TEXAS,NORTHERN HIGH PLAINS,RANDALL,CORN,707000
TEXAS,SOUTH CENTRAL,WILSON,CORN,705000
MISSOURI,CENTRAL,COLE,CORN,699000
OHIO,EAST CENTRAL,CARROLL,CORN,690000
NEBRASKA,NORTH,MCPHERSON,CORN,686000
TEXAS,NORTHERN HIGH PLAINS,BRISCOE,CORN,676000
TEXAS,SOUTHERN HIGH PLAINS,CROSBY,CORN,649000
ILLINOIS,SOUTHWEST,JOHNSON,CORN,648000
KENTUCKY,BLUEGRASS,FAYETTE,CORN,633000
TEXAS,EDWARDS PLATEAU,OTHER (COMBINED) COUNTIES,CORN,625700
KENTUCKY,CENTRAL,MONROE,CORN,619000
TEXAS,UPPER COAST,OTHER (COMBINED) COUNTIES,CORN,617000
OHIO,SOUTHWEST,HAMILTON,CORN,590000
MICHIGAN,NORTHEAST,IOSCO,CORN,580000
TEXAS,SOUTH CENTRAL,GOLIAD,CORN,552000
KENTUCKY,BLUEGRASS,CLARK,CORN,546000
MICHIGAN,NORTHWEST,MISSAUKEE,CORN,545000
MICHIGAN,NORTHEAST,PRESQUE ISLE,CORN,530000
TEXAS,NORTHERN HIGH PLAINS,ARMSTRONG,CORN,516500
NORTH DAKOTA,SOUTHWEST,GOLDEN VALLEY,CORN,510000
ILLINOIS,NORTHEAST,COOK,CORN,510000
SOUTH DAKOTA,NORTHWEST,BUTTE,CORN,510000
KENTUCKY,CENTRAL,CUMBERLAND,CORN,505000
TEXAS,SOUTHERN HIGH PLAINS,LYNN,CORN,498000
TEXAS,SOUTH CENTRAL,GONZALES,CORN,494000
TEXAS,SOUTHERN LOW PLAINS,OTHER (COMBINED) COUNTIES,CORN,490000
NORTH DAKOTA,SOUTHWEST,SLOPE,CORN,485000
MICHIGAN,NORTHEAST,ALPENA,CORN,480000
TEXAS,COASTAL BEND,OTHER (COMBINED) COUNTIES,CORN,476000
NEBRASKA,NORTH,BLAINE,CORN,473800
TEXAS,SOUTH TEXAS,LIVE OAK,CORN,470000
MISSOURI,SOUTHWEST,GREENE,CORN,463000
OHIO,SOUTHEAST,MORGAN,CORN,460000
OHIO,EAST CENTRAL,HARRISON,CORN,450000
KENTUCKY,BLUEGRASS,WOODFORD,CORN,447000
KENTUCKY,CENTRAL,RUSSELL,CORN,446000
MISSOURI,CENTRAL,POLK,CORN,440000
OHIO,SOUTHEAST,HOCKING,CORN,430000
OHIO,SOUTH CENTRAL,JACKSON,CORN,420000
KENTUCKY,NORTHERN,OTHER (COMBINED) COUNTIES,CORN,413700
KENTUCKY,BLUEGRASS,FLEMING,CORN,403000
MICHIGAN,CENTRAL,CLARE,CORN,400000
MICHIGAN,NORTHWEST,GRAND TRAVERSE,CORN,390000
OHIO,SOUTHEAST,GUERNSEY,CORN,390000
OHIO,SOUTH CENTRAL,GALLIA,CORN,380000
KENTUCKY,NORTHERN,OLDHAM,CORN,380000
MISSOURI,SOUTH CENTRAL,WEBSTER,CORN,362000
MICHIGAN,UPPER PENINSULA,DELTA,CORN,360000
INDIANA,SOUTHEAST,OHIO,CORN,360000
TEXAS,SOUTH CENTRAL,HAYS,CORN,346000
MISSOURI,CENTRAL,LACLEDE,CORN,333000
MICHIGAN,NORTHWEST,WEXFORD,CORN,328000
TEXAS,LOWER VALLEY,STARR,CORN,319000
MICHIGAN,NORTHEAST,ALCONA,CORN,315000
WISCONSIN,NORTHWEST,OTHER (COMBINED) COUNTIES,CORN,290000
KENTUCKY,NORTHERN,BOONE,CORN,290000
KANSAS,SOUTHEAST,CHAUTAUQUA,CORN,289900
MINNESOTA,NORTH CENTRAL,BELTRAMI,CORN,281000
OHIO,SOUTHEAST,MEIGS,CORN,280000
KANSAS,SOUTH CENTRAL,HARPER,CORN,279500
OHIO,SOUTHEAST,ATHENS,CORN,275000
KENTUCKY,BLUEGRASS,SCOTT,CORN,274000
TEXAS,SOUTH CENTRAL,LAVACA,CORN,273000
TEXAS,EDWARDS PLATEAU,TOM GREEN,CORN,272000
MISSOURI,CENTRAL,MARIES,CORN,269000
KENTUCKY,CENTRAL,CLINTON,CORN,264000
MINNESOTA,NORTH CENTRAL,OTHER (COMBINED) COUNTIES,CORN,254000
NORTH DAKOTA,WEST CENTRAL,MCKENZIE,CORN,246000
KENTUCKY,CENTRAL,BULLITT,CORN,233000
MISSOURI,CENTRAL,MILLER,CORN,222000
MICHIGAN,NORTHWEST,CHARLEVOIX,CORN,213000
KENTUCKY,BLUEGRASS,MADISON,CORN,202000
OHIO,NORTHEAST,GEAUGA,CORN,185000
OHIO,EAST CENTRAL,OTHER (COMBINED) COUNTIES,CORN,180000
KENTUCKY,BLUEGRASS,BATH,CORN,180000
NORTH DAKOTA,NORTHWEST,BURKE,CORN,175500
KENTUCKY,EASTERN OR MOUNTAIN,LEWIS,CORN,175000
MICHIGAN,WEST CENTRAL,LAKE,CORN,170000
SOUTH DAKOTA,NORTHWEST,HARDING,CORN,170000
OHIO,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,165000
KENTUCKY,BLUEGRASS,GARRARD,CORN,160000
KENTUCKY,NORTHERN,GALLATIN,CORN,160000
NORTH DAKOTA,NORTHWEST,DIVIDE,CORN,156500
WISCONSIN,SOUTHEAST,MILWAUKEE,CORN,145000
MICHIGAN,SOUTHEAST,WAYNE,CORN,140000
MICHIGAN,NORTHWEST,ANTRIM,CORN,135000
TEXAS,EDWARDS PLATEAU,GILLESPIE,CORN,128000
MICHIGAN,NORTHEAST,OTHER (COMBINED) COUNTIES,CORN,128000
MICHIGAN,NORTHWEST,MANISTEE,CORN,120000
KENTUCKY,NORTHERN,OWEN,CORN,114000
KENTUCKY,NORTHERN,PENDLETON,CORN,114000
KENTUCKY,NORTHERN,BRACKEN,CORN,106000
MICHIGAN,NORTHWEST,BENZIE,CORN,105000
KENTUCKY,CENTRAL,JEFFERSON,CORN,104000
KENTUCKY,NORTHERN,GRANT,CORN,97300
KENTUCKY,EASTERN OR MOUNTAIN,ROWAN,CORN,87200
KENTUCKY,BLUEGRASS,ANDERSON,CORN,85500
MICHIGAN,NORTHWEST,LEELANAU,CORN,84000
MICHIGAN,NORTHWEST,OTHER (COMBINED) COUNTIES,CORN,80000
KENTUCKY,EASTERN OR MOUNTAIN,GREENUP,CORN,74800
MINNESOTA,EAST CENTRAL,AITKIN,CORN,73800
KENTUCKY,EASTERN OR MOUNTAIN,ESTILL,CORN,70700
MICHIGAN,UPPER PENINSULA,DICKINSON,CORN,68000
KENTUCKY,EASTERN OR MOUNTAIN,KNOX,CORN,66900
MICHIGAN,UPPER PENINSULA,OTHER (COMBINED) COUNTIES,CORN,62000
MICHIGAN,NORTHEAST,OTSEGO,CORN,60000
MICHIGAN,NORTHEAST,MONTMORENCY,CORN,57000
MISSOURI,SOUTHWEST,CHRISTIAN,CORN,52000
KENTUCKY,BLUEGRASS,JESSAMINE,CORN,50400
OHIO,SOUTHEAST,MONROE,CORN,50000
MISSOURI,SOUTH CENTRAL,MADISON,CORN,42000
TEXAS,SOUTH CENTRAL,LEE,CORN,33000
TEXAS,EDWARDS PLATEAU,CONCHO,CORN,32300
MINNESOTA,NORTHEAST,ST. LOUIS,CORN,31000
MINNESOTA,EAST CENTRAL,CARLTON,CORN,15200
